Cycle,Peak Timestamp,Low Timestamp,Acceleration Timestamp,Voltage,Slope,Acceleration
15,2024-07-01 01:03:00,2024-07-01 05:08:00,2024-07-01 01:18:00,80,-0.004761904761904762,-1.1337868480725624e-05
15,2024-07-01 01:03:00,2024-07-01 05:08:00,2024-07-01 04:54:00,44,-0.016666666666666666,-0.0002777777777777778
17,2024-07-01 16:45:00,2024-07-01 21:41:00,2024-07-01 17:25:00,77,-0.005555555555555556,-3.08641975308642e-05
17,2024-07-01 16:45:00,2024-07-01 21:41:00,2024-07-01 18:45:00,54,-0.006666666666666667,-2.2222222222222223e-05
17,2024-07-01 16:45:00,2024-07-01 21:41:00,2024-07-01 18:59:00,50,-0.016666666666666666,-0.0002777777777777778
17,2024-07-01 16:45:00,2024-07-01 21:41:00,2024-07-01 21:06:00,34,-0.008333333333333333,-6.944444444444444e-05
18,2024-07-01 23:15:00,2024-07-02 02:55:00,2024-07-01 23:50:00,93,-0.008333333333333333,-6.944444444444444e-05
18,2024-07-01 23:15:00,2024-07-02 02:55:00,2024-07-02 01:00:00,80,-0.008333333333333333,-3.472222222222222e-05
18,2024-07-01 23:15:00,2024-07-02 02:55:00,2024-07-02 01:47:00,69,-0.016666666666666666,-0.0002777777777777778
19,2024-07-02 03:42:00,2024-07-02 07:26:00,2024-07-02 04:48:00,67,-0.016666666666666666,-0.0002777777777777778
19,2024-07-02 03:42:00,2024-07-02 07:26:00,2024-07-02 06:05:00,51,-0.008333333333333333,-6.944444444444444e-05
21,2024-07-02 20:03:00,2024-07-03 00:09:00,2024-07-02 20:43:00,78,-0.008333333333333333,-6.944444444444444e-05
21,2024-07-02 20:03:00,2024-07-03 00:09:00,2024-07-02 21:11:00,70,-0.016666666666666666,-0.0002777777777777778
21,2024-07-02 20:03:00,2024-07-03 00:09:00,2024-07-02 22:14:00,49,-0.016666666666666666,-0.0002777777777777778
